months	censor	personal	property	cenage
0.0657084188911704	1	1	1	-1.67519775718686
0.131416837782341	1	0	1	-10.4828637393908
0.229979466119097	1	1	1	-4.42673779825462
0.295687885010267	1	0	1	-11.3288596326146
0.295687885010267	1	1	1	-7.16458858538672
0.328542094455852	1	1	0	-2.86890070037646
0.492813141683778	1	0	1	-6.42810672364819
0.624229979466119	0	1	1	22.4507433790212
0.68993839835729	1	1	1	-12.4869705155715
0.722792607802875	1	1	1	-9.40962623083504
0.788501026694045	1	0	1	-8.51708687422998
0.82135523613963	0	0	0	-4.35281582700205
0.887063655030801	1	1	1	-5.63412999537988
1.05133470225873	1	1	1	-4.766231295859
1.08418891170431	1	0	1	-4.56910603918549
1.21560574948665	1	0	1	-8.59648454705681
1.24845995893224	0	1	1	19.7621739060575
1.28131416837782	1	0	1	8.19475433042436
1.37987679671458	1	0	1	-3.24124840742642
1.51129363449692	1	0	1	-7.88190549161533
1.60985626283368	1	0	1	-5.5081888591718
1.70841889117043	0	0	0	0.257724898528405
2.06981519507187	1	0	1	1.99899799914442
2.13552361396304	1	0	1	-8.44042705219028
2.23408624229979	1	1	1	-0.905861686002741
2.36550308008214	1	0	1	-7.30148112474333
2.39835728952772	1	1	1	-0.421262096680358
2.39835728952772	0	0	0	-6.05302116581109
2.52977412731006	1	1	1	-6.0968267784052
2.52977412731006	1	1	1	-8.11188495773443
2.56262833675565	1	1	1	-4.72790138483915
2.69404517453799	0	0	1	0.348073974503762
2.79260780287474	0	1	0	27.0612841045517
2.79260780287474	1	0	0	-10.8469978940794
2.85831622176591	0	0	1	-5.5848486812115
2.92402464065708	0	0	1	-9.03180282221082
2.98973305954825	1	0	1	-2.94008482084189
3.05544147843943	1	1	1	-3.75870220619439
3.1211498973306	1	1	1	-2.58142636772758
3.15400410677618	0	1	1	8.29331695876112
3.18685831622177	0	1	0	2.49728684240246
3.18685831622177	1	1	1	-2.56773711379192
3.21971252566735	1	1	1	1.43500073699521
3.31827515400411	1	0	1	-5.98183704534566
3.5482546201232	0	1	1	-1.24261733281999
3.81108829568789	1	1	1	0.301530511122518
4.0082135523614	0	0	0	-1.81209029654346
4.04106776180698	1	1	1	0.463063707563311
4.27104722792608	0	0	1	1.98530874520876
4.30390143737166	1	0	1	-3.88464334240247
4.6652977412731	1	0	1	3.66361127772074
4.79671457905544	1	0	1	-9.21523882494867
4.8952772073922	1	0	1	0.476752961498971
4.92813141683778	0	0	1	-3.43289796252567
4.96098562628337	0	0	1	10.4178891695756
5.19096509240246	1	0	1	10.8942752065366
5.42094455852156	1	0	1	-6.06944827053388
5.45379876796715	0	0	1	-2.79224087833676
5.45379876796715	1	0	1	-5.71352766820671
5.48665297741273	0	0	1	-8.20770973528405
5.65092402464066	1	1	1	-5.6615085032512
5.84804928131417	1	0	1	-7.1372100775154
5.84804928131417	1	1	1	-10.5841642185147
5.84804928131417	0	0	1	-3.72311014596167
6.04517453798768	1	0	1	0.57805344062286
6.24229979466119	1	0	1	-3.37266524520876
6.30800821355236	1	0	1	-5.60127578593429
6.40657084188912	1	0	1	-6.20360295910336
6.63655030800821	0	0	0	17.4076222291239
6.6694045174538	1	0	1	-4.05439009120466
6.6694045174538	0	0	1	-9.056443479295
6.80082135523614	1	0	0	-1.2261902280972
6.80082135523614	1	0	1	-8.09545785301164
6.83367556468172	0	0	1	10.7601205179671
6.93223819301848	0	0	1	0.750538040212181
7.03080082135524	1	1	1	1.68414515862423
7.03080082135524	0	0	1	3.34054488483915
7.09650924024641	1	0	1	-2.28573848271732
7.19507186858316	1	0	1	-11.7285858475359
7.22792607802875	0	0	0	25.0955072393908
7.35934291581109	1	1	1	-1.09751124110199
7.42505133470226	1	0	1	-0.938715895448326
7.49075975359343	1	0	1	-8.04343868805613
7.62217659137577	0	0	0	16.3617632284394
7.68788501026694	1	0	1	-4.27341815417523
7.7864476386037	1	0	1	4.70399457683093
7.98357289527721	1	0	1	-6.91270631297057
8.37782340862423	0	0	1	-0.103671405373035
8.41067761806982	0	0	1	-4.47328126163587
9.06776180698152	1	1	1	9.72521292043121
9.1006160164271	1	1	1	-5.19881172022587
9.29774127310062	0	0	1	13.8210376979808
9.36344969199179	1	0	1	-0.459592007700206
9.49486652977413	1	0	1	-6.38430111105408
9.85626283367556	0	0	0	4.81077075752909
10.0205338809035	0	0	1	-5.49997530681041
10.1519507186858	0	0	1	6.2015989573922
10.3162217659138	0	0	1	19.6033785604038
10.5790554414784	0	1	1	3.66361127772074
10.9404517453799	1	1	1	11.0202163427447
11.006160164271	1	0	1	-1.94350713432581
11.0390143737166	0	1	1	4.10988095602327
11.2361396303901	1	0	1	9.38845727361396
11.4989733059548	0	0	1	-4.88669673049282
11.6632443531828	0	1	1	3.59790285882957
